Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Mileage_num,Engine_num,Power_num,Brand,Car_Age,fuel_unit,kg_co2e_per_unit,kg_co2e_per_kwh,kwh_per_unit,estimated_kg_co2e_per_km
Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,5.0,1.75,26.6,998.0,58.16,Maruti,10,kg,2.5625,0.18,14.23611,0.09633458646616541
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,5.0,12.5,19.67,1582.0,126.2,Hyundai,5,litre,2.51,0.24,10.45833,0.1276054905948144
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,5.0,4.5,18.2,1199.0,88.7,Honda,9,litre,2.1,0.22,9.545455,0.11538461538461539
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,7.0,6.0,20.77,1248.0,88.76,Maruti,8,litre,2.51,0.24,10.45833,0.12084737602311024
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,5.0,17.74,15.2,1968.0,140.8,Audi,7,litre,2.51,0.24,10.45833,0.1651315789473684
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,5.0,2.35,21.1,814.0,55.2,Hyundai,8,litre,1.56,0.21,7.428571,0.07393364928909953
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,5.0,3.5,23.08,1461.0,63.1,Nissan,7,litre,2.51,0.24,10.45833,0.10875216637781629
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,8.0,17.5,11.36,2755.0,171.5,Toyota,4,litre,2.51,0.24,10.45833,0.2209507042253521
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,5.0,5.2,20.54,1598.0,103.6,Volkswagen,7,litre,2.51,0.24,10.45833,0.12220058422590067
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,5.0,1.95,22.3,1248.0,74.0,Tata,8,litre,2.51,0.24,10.45833,0.11255605381165917
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,5.0,9.95,21.56,1462.0,103.25,Maruti,2,litre,2.1,0.22,9.545455,0.09740259740259741
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,5.0,4.49,16.8,1497.0,116.3,Honda,8,litre,2.1,0.22,9.545455,0.125
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,5.0,5.6,25.2,1248.0,74.0,Maruti,5,litre,2.51,0.24,10.45833,0.0996031746031746
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,5.0,27.0,12.7,2179.0,187.7,Land,6,litre,2.51,0.24,10.45833,0.19763779527559056
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,5.0,17.5,0.0,2179.0,115.0,Land,8,litre,2.51,0.24,10.45833,0.12352941176470589
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,7.0,15.0,13.5,2477.0,175.56,Mitsubishi,6,litre,2.51,0.24,10.45833,0.1859259259259259
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,5.0,5.4,25.8,1498.0,98.6,Honda,4,litre,2.51,0.24,10.45833,0.09728682170542635
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,5.0,5.99,28.4,1248.0,74.0,Maruti,3,litre,2.51,0.24,10.45833,0.08838028169014084
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,5.0,6.34,20.45,1461.0,83.8,Renault,6,litre,2.51,0.24,10.45833,0.12273838630806845
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,5.0,28.0,14.84,2143.0,167.62,Mercedes-Benz,6,litre,2.51,0.24,10.45833,0.1691374663072776
BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,5.0,18.55,22.69,1995.0,190.0,BMW,6,litre,2.51,0.24,10.45833,0.11062141912736886
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,5.0,8.25,23.65,1248.0,88.5,Maruti,5,litre,2.51,0.24,10.45833,0.10613107822410148
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,5.0,23.5,13.53,1984.0,177.01,Audi,5,litre,2.1,0.22,9.545455,0.15521064301552107
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,5.0,1.87,18.5,1197.0,80.0,Hyundai,10,litre,2.1,0.22,9.545455,0.11351351351351352
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,5.0,2.85,14.4,1598.0,103.6,Volkswagen,10,litre,2.1,0.22,9.545455,0.14583333333333334
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,5.0,4.25,16.8,1497.0,116.3,Honda,8,litre,2.1,0.22,9.545455,0.125
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,5.0,4.25,23.08,1461.0,63.1,Nissan,8,litre,2.51,0.24,10.45833,0.10875216637781629
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,5.0,2.75,20.92,998.0,67.1,Maruti,7,litre,2.1,0.22,9.545455,0.10038240917782026
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,5.0,9.9,17.5,1199.0,88.7,Honda,2,litre,2.1,0.22,9.545455,0.12000000000000001
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,7.0,4.0,12.8,2494.0,102.0,Toyota,13,litre,2.51,0.24,10.45833,0.19609374999999998
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,5.0,7.75,19.01,1461.0,108.45,Renault,7,litre,2.51,0.24,10.45833,0.13203577064702784
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,5.0,6.75,14.53,1798.0,138.1,Toyota,8,litre,2.1,0.22,9.545455,0.1445285615966965
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,7.0,12.5,11.18,2696.0,184.0,Mahindra,7,litre,2.51,0.24,10.45833,0.22450805008944544
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,5.0,11.5,12.4,2698.0,179.5,Audi,10,litre,2.51,0.24,10.45833,0.20241935483870965
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,5.0,6.98,16.09,1598.0,103.5,Volkswagen,6,litre,2.1,0.22,9.545455,0.1305158483530143
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,5.0,1.85,14.0,1061.0,64.0,Maruti,11,litre,2.1,0.22,9.545455,0.15
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,5.0,8.63,24.3,1248.0,88.5,Maruti,2,litre,2.51,0.24,10.45833,0.10329218106995884
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,5.0,4.85,18.15,1198.0,82.0,Mahindra,3,litre,2.1,0.22,9.545455,0.11570247933884299
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,5.0,28.0,11.74,2987.0,254.8,Mercedes-Benz,7,litre,2.51,0.24,10.45833,0.2137989778534923
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,5.0,5.0,22.07,1199.0,73.9,Volkswagen,7,litre,2.51,0.24,10.45833,0.11372904395106478
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,5.0,1.25,19.7,796.0,46.3,Maruti,12,litre,2.1,0.22,9.545455,0.10659898477157362
Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,4.0,1.53,25.4,624.0,37.5,Tata,6,litre,2.1,0.22,9.545455,0.08267716535433071
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,6.0,5.58,25.32,1198.0,77.0,Mahindra,3,litre,2.51,0.24,10.45833,0.09913112164296997
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,5.0,4.74,18.5,1197.0,82.9,Hyundai,6,litre,2.1,0.22,9.545455,0.11351351351351352
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,5.0,8.85,14.62,1999.0,149.92,Hyundai,6,litre,2.1,0.22,9.545455,0.1436388508891929
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,5.0,10.11,14.28,1798.0,138.03,Toyota,4,litre,2.1,0.22,9.545455,0.14705882352941177
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,5.0,4.25,14.9,1991.0,112.2,Hyundai,12,litre,2.51,0.24,10.45833,0.16845637583892614
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,7.0,10.95,11.25,2694.0,163.7,Toyota,8,litre,2.1,0.22,9.545455,0.18666666666666668
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,5.0,3.85,24.4,1120.0,71.0,Hyundai,6,litre,2.51,0.24,10.45833,0.10286885245901639
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,6.0,5.5,16.55,2498.0,105.0,Mahindra,8,litre,2.51,0.24,10.45833,0.15166163141993955
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,5.0,21.43,17.11,1968.0,174.33,Audi,5,litre,2.51,0.24,10.45833,0.146697837521917
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,5.0,4.25,22.9,1248.0,74.0,Maruti,6,litre,2.51,0.24,10.45833,0.10960698689956332
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,5.0,3.3,17.8,1248.0,75.0,Maruti,6,litre,2.51,0.24,10.45833,0.14101123595505616
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,5.0,3.85,28.4,1248.0,74.0,Maruti,7,litre,2.51,0.24,10.45833,0.08838028169014084
